rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,DEL,QSTOP,ESC,WIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO,N
1,AUSTIN,TRAVIS,AUST,SUPERIOR,6,12,1979,0.145,0.119,0.137,,4500000,242000,4500000,,9242000,9242000,7,5,51344,0,1,10120694,10147109.8858498,9242000,9552974.16662402,-0.0299493104771686,0,13.39,4
2,AUSTIN,TRAVIS,AUST,OAK FARMS,6,12,1979,0.161,0.141,0.151,,4500000,242000,4500000,,9242000,,7,5,51344,0,0,10120694,10147109.8858498,496823,34259343.9798566,-0.982894883729302,0,13.39,4
3,AUSTIN,TRAVIS,AUST,SCHEPPS,6,12,1979,0.1723,0.1575,0.1623,,4500000,242000,4500000,,9242000,,7,5,51344,0,0,10120694,10147109.8858498,0,24459260.8526589,-0.99739670840791,0,13.39,4
4,AUSTIN,TRAVIS,AUST,"STEVENS, B.",6,12,1979,0.14,0.135,0.135,,4500000,242000,4500000,,9242000,,7,5,51344,0,0,10120694,10147109.8858498,0,0,,0,13.39,4
5,AUSTIN,TRAVIS,AUST,SUPERIOR,6,9,1980,0.163,0.145,0.155,,2700000,600000,4500000,,7800000,7800000,7,5,43333,0,1,54466242.4919576,58060037.7775751,7800000,9552974.16662402,-0.121602441607212,0,14.29,4
6,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1980,0.169,0.149,0.169,,2700000,600000,4500000,,7800000,,7,5,43333,0,0,54466242.4919576,58060037.7775751,3163489.66666667,34259343.9798566,-0.845762614929533,0,14.29,4
7,AUSTIN,TRAVIS,AUST,PURE,6,9,1980,0.2,0.188,0.192,,2700000,600000,4500000,,7800000,,7,5,43333,0,0,54466242.4919576,58060037.7775751,0,4073460.97903592,-0.938102084959277,0,14.29,4
8,AUSTIN,TRAVIS,AUST,SCHEPPS,6,9,1980,0.1725,0.1695,0.1745,,2700000,600000,4500000,,7800000,,7,5,43333,0,0,54466242.4919576,58060037.7775751,3122280.36962458,24459260.8526589,-0.810449806812647,0,14.29,4
9,AUSTIN,TRAVIS,AUST,OAK FARMS,6,9,1981,0.165,0.145,0.158,,2000000,750000,5000000,,7750000,7750000,7,5,43055,,1,66980463.4186782,75676361.1466808,11096000.5909967,34259343.9798566,-0.561208504170382,0,15.2,3
10,AUSTIN,TRAVIS,AUST,BORDEN,6,9,1981,0.19,0.185,0.189,,2000000,750000,5000000,,7750000,,7,5,43055,,0,66980463.4186782,75676361.1466808,3779806.66666667,14843406.5703431,-0.630445465151445,0,15.2,3
11,AUSTIN,TRAVIS,AUST,SUPERIOR,6,9,1981,0.168,0.15,0.164,,2000000,750000,5000000,,7750000,,7,5,43055,,0,66980463.4186782,75676361.1466808,0.0,9552974.16662402,-0.885090963727133,0,15.2,3
12,AUSTIN,TRAVIS,AUST,OAK FARMS,6,16,1982,0.14,0.1349,0.1449,,1700000,535000,5100000,,7335000,7335000,7,5,40750,0,1,69779728.1998207,84946678.9341424,11098656.3333333,34259343.9798566,-0.49749330360316,0,15.1,4
13,AUSTIN,TRAVIS,AUST,BORDEN,6,16,1982,0.185,0.179,0.185,,1700000,535000,5100000,,7335000,,7,5,40750,0,0,69779728.1998207,84946678.9341424,7030406.89910152,14843406.5703431,-0.347814911537786,0,15.1,4
14,AUSTIN,TRAVIS,AUST,PURE,6,16,1982,0.18,0.1725,0.175,,1700000,535000,5100000,,7335000,,7,5,40750,0,0,69779728.1998207,84946678.9341424,2452989.88318541,4073460.97903592,-0.219265143687212,0,15.1,4
15,AUSTIN,TRAVIS,AUST,SUPERIOR,6,16,1982,0.168,0.148,0.162,,1700000,535000,5100000,,7335000,,7,5,40750,0,0,69779728.1998207,84946678.9341424,0.0,9552974.16662402,-0.821453281933713,0,15.1,4
16,AUSTIN,TRAVIS,AUST,SUPERIOR,6,13,1984,0.1344,0.1287,0.1377,,4500000,290000,2800000,,7590000,7590000,7,5,42166,0,1,61153356.5037516,86135755.5117197,8408178.44610434,9552974.16662402,0.170198599374968,0,14.86,5
17,AUSTIN,TRAVIS,AUST,BORDEN,6,13,1984,0.179,0.169,0.179,,4500000,290000,2800000,,7590000,,7,5,42166,0,0,61153356.5037516,86135755.5117197,5053162.55577056,14843406.5703431,-0.369533364986927,0,14.86,5
18,AUSTIN,TRAVIS,AUST,OAK FARMS,6,13,1984,0.1349,0.1329,0.1399,,4500000,290000,2800000,,7590000,,7,5,42166,0,0,61153356.5037516,86135755.5117197,2909612.0,34259343.9798566,-0.625035818908479,0,14.86,5
19,AUSTIN,TRAVIS,AUST,PURE,6,13,1984,0.17,0.165,0.17,,4500000,290000,2800000,,7590000,,7,5,42166,0,0,61153356.5037516,86135755.5117197,2253000.0,4073460.97903592,-0.156872499926803,0,14.86,5
20,AUSTIN,TRAVIS,AUST,SCHEPPS,6,13,1984,0.1799,0.1699,0.1799,,4500000,290000,2800000,,7590000,,7,5,42166,0,0,61153356.5037516,86135755.5117197,10527127.6666667,24459260.8526589,-0.27957047440866,0,14.86,5
21,AUSTIN,TRAVIS,AUST,OAK FARMS,6,18,1985,0.124,0.123,0.136,,4500000,290000,2500000,,7290000,7290000,7,5,40500,0,1,59536009.3501284,93054269.8529648,11537396.1765295,34259343.9798566,-0.303032384059648,0,14.34,5
22,AUSTIN,TRAVIS,AUST,BORDEN,6,18,1985,0.18,0.1695,0.1795,,4500000,290000,2500000,,7290000,,7,5,40500,0,0,59536009.3501284,93054269.8529648,4502217.80487806,14843406.5703431,-0.336484468683746,0,14.34,5
23,AUSTIN,TRAVIS,AUST,PURE,6,18,1985,0.17,0.165,0.17,,4500000,290000,2500000,,7290000,,7,5,40500,0,0,59536009.3501284,93054269.8529648,2103000.0,4073460.97903592,-0.123530190223541,0,14.34,5
24,AUSTIN,TRAVIS,AUST,SCHEPPS,6,18,1985,0.177,0.167,0.177,,4500000,290000,2500000,,7290000,,7,5,40500,0,0,59536009.3501284,93054269.8529648,11417195.5542433,24459260.8526589,-0.173014630071921,0,14.34,5
25,AUSTIN,TRAVIS,AUST,SUPERIOR,6,18,1985,0.1314,0.1267,0.1355,,4500000,290000,2500000,,7290000,,7,5,40500,0,0,59536009.3501284,93054269.8529648,1259018.5679052,9552974.16662402,-0.50800543053846,0,14.34,5
26,AUSTIN,TRAVIS,AUST,SUPERIOR,5,26,1986,0.12,0.12,0.1339,,4300000,345000,2600000,,7245000,7245000,7,5,40250,0,1,95289116.5408635,96115650.8644452,7245000,9552974.16662402,-0.232998073752847,0,14.44,4
27,AUSTIN,TRAVIS,AUST,OAK FARMS,5,26,1986,0.126,0.126,0.138,,4300000,345000,2600000,,7245000,,7,5,40250,0,0,95289116.5408635,96115650.8644452,2549871.38961763,34259343.9798566,-0.916972132753644,0,14.44,4
28,AUSTIN,TRAVIS,AUST,PURE,5,26,1986,0.165,0.1625,0.165,,4300000,345000,2600000,,7245000,,7,5,40250,0,0,95289116.5408635,96115650.8644452,2103000.0,4073460.97903592,-0.475132026311966,0,14.44,4
29,AUSTIN,TRAVIS,AUST,SCHEPPS,5,26,1986,0.176,0.171,0.181,,4300000,345000,2600000,,7245000,,7,5,40250,0,0,95289116.5408635,96115650.8644452,6136072.55424326,24459260.8526589,-0.740531535377407,0,14.44,4
30,AUSTIN,TRAVIS,AUST,SUPERIOR,5,11,1987,0.1239,0.124,0.1369,,4500000,380000,2750000,,7630000,7630000,7,5,42388,0,1,96599746.2449685,101379288.42028,7630000,9552974.16662402,-0.154150707593488,0,14.92,5
31,AUSTIN,TRAVIS,AUST,BORDEN,5,11,1987,0.165,0.159,0.165,,4500000,380000,2750000,,7630000,,7,5,42388,0,0,96599746.2449685,101379288.42028,5736484.01438034,14843406.5703431,-0.566388034038268,0,14.92,5
32,AUSTIN,TRAVIS,AUST,OAK FARMS,5,11,1987,0.1259,0.1219,0.1399,,4500000,380000,2750000,,7630000,,7,5,42388,0,0,96599746.2449685,101379288.42028,6666391.54487477,34259343.9798566,-0.75826876308247,0,14.92,5
33,AUSTIN,TRAVIS,AUST,PURE,5,11,1987,0.1625,0.159,0.16,,4500000,380000,2750000,,7630000,,7,5,42388,0,0,96599746.2449685,101379288.42028,2545947.30397327,4073460.97903592,-0.327846452034542,0,14.92,5
34,AUSTIN,TRAVIS,AUST,SCHEPPS,5,11,1987,0.17,0.17,0.18,,4500000,380000,2750000,,7630000,,7,5,42388,0,0,96599746.2449685,101379288.42028,11857331.3490957,24459260.8526589,-0.468076036737732,0,14.92,5
35,AUSTIN,TRAVIS,AUST,SUPERIOR,4,6,1988,0.114,0.11,0.13,,4700000,450000,3000000,,8150000,8150000,7,5,45277,0,1,108295131.339606,109470332.68921,8150000.0,9552974.16662402,-0.136127211149486,0,14.44,5
36,AUSTIN,TRAVIS,AUST,BORDEN,4,6,1988,0.1427,0.1323,0.147,,4700000,450000,3000000,,8150000,,7,5,45277,0,0,108295131.339606,109470332.68921,703468.48026398,14843406.5703431,-0.941872001743873,0,14.44,5
37,AUSTIN,TRAVIS,AUST,OAK FARMS,4,6,1988,0.119,0.12,0.133,,4700000,450000,3000000,,8150000,,7,5,45277,0,0,108295131.339606,109470332.68921,32050.0,34259343.9798566,-0.988329147810875,0,14.44,5
38,AUSTIN,TRAVIS,AUST,PURE,4,6,1988,0.159,0.155,0.159,,4700000,450000,3000000,,8150000,,7,5,45277,0,0,108295131.339606,109470332.68921,35432.0638075088,4073460.97903592,-0.980566388918293,0,14.44,5
39,AUSTIN,TRAVIS,AUST,SCHEPPS,4,6,1988,0.18,0.17,0.18,,4700000,450000,3000000,,8150000,,7,5,45277,0,0,108295131.339606,109470332.68921,0.0,24459260.8526589,-0.989264659010939,0,14.44,5
40,AUSTIN,TRAVIS,AUST,SUPERIOR,4,17,1989,0.1243,0.1215,0.1329,,4000000,450000,3000000,,7450000,7450000,7,5,41388,0,1,107622812.437352,108104445.363237,7450000,9552974.16662402,-0.215682905647091,0,15.52,3
41,AUSTIN,TRAVIS,AUST,OAK FARMS,4,17,1989,0.1224,0.125,0.136,,4000000,450000,3000000,,7450000,,7,5,41388,0,0,107622812.437352,108104445.363237,51465.3425791979,34259343.9798566,-0.994042516583435,0,15.52,3
42,AUSTIN,TRAVIS,AUST,SCHEPPS,4,17,1989,0.17,0.16,0.17,,4000000,450000,3000000,,7450000,,7,5,41388,0,0,107622812.437352,108104445.363237,3237260.91034159,24459260.8526589,-0.863191566286933,0,15.52,3
43,IREDELE,BOSQUE,DFW,CABELL,8,12,1987,,0.16,0.17,0.18,,2138.1413326421,3311.8096657908,2975.0490015671,8425,8425,3,2,117,1,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.77,1
44,IREDELE,BOSQUE,DFW,CABELL,0,0,1988,,0.16,0.17,0.18,,2182.2999785625,3380.2078713514,3036.4921500861,8599,8599,3,2,119,,1,109470332.68921,109470332.68921,81816.9267970888,14058181.1006322,-0.994180120016137,0,14.29,1
45,IREDELE,BOSQUE,DFW,OAK FARMS,0,0,1989,0.1695,0.161,0.1695,0.1795,4195.1247210922,1162.3051195464,1800.3175331517,1617.2526262097,8775,8775,3,2,121,1,1,108104445.363237,108104445.363237,51465.3425791979,34259343.9798566,-0.998497772093667,0,15.37,1
46,IREDELE,BOSQUE,DFW,PURE,0,0,1990,0.16,0.154,0.16,0.17,4401.1758612393,1219.3938382386,1888.7433857772,1696.6869147449,9206,9206,3,2,127,1,1,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333,1
47,IREDELE,BOSQUE,DFW,PURE,0,0,1991,0.16,0.154,0.16,0.17,4417.4304755432,1223.8973566506,1895.7189750794,1702.9531927268,9240,9240,3,2,128,1,1,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13,1
48,KOPPERL,BOSQUE,DFW,PURE,7,13,1991,0.175,0.1725,0.175,0.185,19446.8659147148,5387.9665837254,8345.5286788224,7496.9153632057,40677.2765404683,,3,3,376.641449448781,0,1,17199127.1995304,76931068.1288262,992221.292887093,4073460.97903592,0.020016453985337,,14.13,1
49,MORGAN,BOSQUE,DFW,OAK FARMS,8,19,1986,0.1455,0.1335,0.148,0.154,19962.914364522,5530.9434425847,8566.9883811938,7695.8559826599,41756.7021709604,,3,3,386.636131212596,,1,11364286.1119198,96115650.8644452,7822004.66038077,34259343.9798566,0.110081866870761,0,14.29,2
50,MORGAN,BOSQUE,DFW,PURE,8,19,1986,0.18,0.17,0.175,0.185,19962.914364522,5530.9434425847,8566.9883811938,7695.8559826599,41756.7021709604,,3,3,386.636131212596,0,0,11364286.1119198,96115650.8644452,3101559.69241926,4073460.97903592,0.643170963868479,1,14.29,2
51,MORGAN,BOSQUE,DFW,PURE,9,1,1987,0.159,0.155,0.159,0.169,17906.2666822697,4961.126741268,7684.3879513999,6903.0025905814,37454.783965519,,3,3,346.803555236287,0,1,813586.783965519,101379288.42028,3656621.02219897,4073460.97903592,0.88964416094097,1,14.77,1
52,MORGAN,BOSQUE,DFW,PURE,8,16,1988,0.159,0.155,0.159,0.169,16589.8077264671,4596.387410323,7119.4359422523,6395.4976067928,34701.1286858352,,3,3,321.306747091067,0,1,8338127.35565186,109470332.68921,3916113.91823389,4073460.97903592,0.885204717505631,1,14.29,1
53,MORGAN,BOSQUE,DFW,PURE,8,22,1989,0.159,0.155,0.159,0.169,15742.3099229187,4361.578888203,6755.7363489208,6068.7807295556,32928.4058895981,,3,3,304.892647125908,0,1,3847235.86096735,108104445.363237,4073460.97903592,4073460.97903592,0.964411862546073,1,15.37,1
54,MORGAN,BOSQUE,DFW,PURE,8,15,1990,0.159,0.155,0.159,0.169,16107.8528571143,4462.8565502695,6912.6073354361,6209.7003230419,33693.0170658618,,3,3,311.972380239461,1,1,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,1,16.4033333333,2
55,MORGAN,BOSQUE,DFW,PURE,8,15,1990,0.167,0.159,0.169,0.175,16107.8528571143,4462.8565502695,6912.6073354361,6209.7003230419,33693.0170658618,,3,3,311.972380239461,0,0,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,1,16.4033333333,2
56,MORGAN,BOSQUE,DFW,PURE,8,11,1991,0.159,0.155,0.159,0.169,16923.3475079217,4688.7982494115,7262.5729301795,6524.0797404278,35398.7984279404,,3,3,327.766652110559,1,1,1738711.70423996,76931068.1288262,1218883.09131503,4073460.97903592,0.276624520421713,1,14.13,2
57,MORGAN,BOSQUE,DFW,PURE,8,11,1991,0.167,0.159,0.169,0.175,16923.3475079217,4688.7982494115,7262.5729301795,6524.0797404278,35398.7984279404,,3,3,327.766652110559,0,0,1738711.70423996,76931068.1288262,1218883.09131503,4073460.97903592,0.276624520421713,1,14.13,2
58,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1979,,,,,,,,,26415.8858498422,,3,2,366.887303470031,1,1,10147109.8858498,10147109.8858498,26415.8858498422,14571456.9513027,-0.998187148619515,0,13.24,1
59,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1981,0.171,0.166,0.171,0.181,12628.8245878316,3498.9537732906,5419.5991395106,4868.5083492094,26415.8858498422,,3,2,366.887303470031,1,1,75676361.1466808,75676361.1466808,26415.8858498422,14571456.9513027,-0.998187148619515,0,15.05,1
60,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1982,0.173,0.168,0.173,0.183,12252.9595117123,3394.8162490745,5258.2984555918,4723.6094911615,25629.68370754,,3,2,355.967829271389,1,1,84946678.9341424,84946678.9341424,75759.68370754,14571456.9513027,-0.994800816146201,0,14.95,1
61,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1983,0.17,0.165,0.17,0.18,10823.9232367907,2998.8861423943,4645.0344331144,4172.7050908833,22640.5489031827,,3,2,314.45206809976,0,1,74331231.1668181,74331231.1668181,72770.5489031827,14571456.9513027,-0.995005952448929,0,15.01,1
62,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1984,,0.155,0.1669,0.1769,,6008.2061824004,9306.2301379069,8359.9280979579,23674.3644182652,,3,2,328.81061692035,1,1,86135755.5117197,86135755.5117197,51835.5271698547,14571456.9513027,-0.996442666828507,0,14.71,1
63,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1985,,0.157,0.17,0.18,,6844.6666471444,10601.8403999133,9523.7945049611,26970.3015520189,,3,2,374.587521555818,1,1,93054269.8529648,93054269.8529648,26970.3015520189,14571456.9513027,-0.998149100557195,0,14.19,1
64,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1986,,0.16,0.17,0.18,,8140.5309700568,12609.0304414021,11326.8838523257,32076.4452637846,,3,2,445.506184219231,,1,96115650.8644452,96115650.8644452,32076.4452637846,14571456.9513027,-0.997798679612411,0,14.29,1
65,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1987,0.159,0.155,0.159,0.169,15990.3831056565,4430.3102727239,6862.1957583735,6164.4148365127,33447.3039732665,,3,2,464.54588851759,0,1,101379288.42028,101379288.42028,33447.3039732665,4073460.97903592,-0.99178897155382,0,14.77,2
66,WALNUT SPRGS,BOSQUE,DFW,CABELL,0,0,1987,,0.159,0.169,0.179,15990.3831056565,4430.3102727239,6862.1957583735,6164.4148365127,33447.3039732665,,3,2,464.54588851759,1,0,101379288.42028,101379288.42028,25963.4325824094,14058181.1006322,-0.998153144251269,0,14.77,2
67,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1988,0.155,0.151,0.155,0.165,16939.2509171734,4693.2044626281,7269.3978015281,6530.2106261792,35432.0638075088,,3,2,492.111997326511,0,1,109470332.68921,109470332.68921,35432.0638075088,4073460.97903592,-0.991301729907354,0,14.29,2
68,WALNUT SPRGS,BOSQUE,DFW,CABELL,0,0,1988,,0.159,0.169,0.179,16939.2509171734,4693.2044626281,7269.3978015281,6530.2106261792,35432.0638075088,,3,2,492.111997326511,,0,109470332.68921,109470332.68921,81816.9267970888,14058181.1006322,-0.994180120016137,0,14.29,2
69,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1989,0.155,0.151,0.155,0.165,16762.9014795855,4644.3449250065,7193.7182912493,6462.2265708696,35063.1912667109,,3,2,486.988767593207,0,1,108104445.363237,108104445.363237,35063.1912667109,4073460.97903592,-0.991392284976544,0,15.37,1
70,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1990,0.155,0.151,0.155,0.165,17218.0033114671,4770.4358577627,7389.023046597,6637.6718035471,36015.1340193739,,3,2,500.210194713526,1,1,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333,2
71,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1990,0.164,0.159,0.164,0.174,17218.0033114671,4770.4358577627,7389.023046597,6637.6718035471,36015.1340193739,,3,2,500.210194713526,0,0,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333,2
72,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1991,0.164,0.157,0.164,0.169,18446.5850318046,5110.827840902,7916.2629641404,7111.2994417766,38584.9752786236,,3,2,535.902434425328,1,1,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13,2
73,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1991,0.169,0.161,0.169,0.174,18446.5850318046,5110.827840902,7916.2629641404,7111.2994417766,38584.9752786236,,3,2,535.902434425328,0,0,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13,2
74,ALLEN,COLLIN,DFW,FOREMOST,7,7,1981,,0.165,0.1771,0.181,,27000,90000,180000,297000,297000,1,3,2750,,1,26331462.2824028,75676361.1466808,9146874.30251651,14571456.9513027,0.279777131082168,0,14.9,4
75,ALLEN,COLLIN,DFW,BORDEN,7,7,1981,,0.1798,0.1848,0.204,,27000,90000,180000,297000,,1,3,2750,,0,26331462.2824028,75676361.1466808,7942901.64590949,14843406.5703431,0.187164808850963,0,14.9,4
76,ALLEN,COLLIN,DFW,CABELL,7,7,1981,,0.183,0.183,0.2018,,27000,90000,180000,297000,,1,3,2750,,0,26331462.2824028,75676361.1466808,7932092.65895873,14058181.1006322,0.216284896540827,0,14.9,4
77,ALLEN,COLLIN,DFW,SCHEPPS,7,7,1981,,0.18,0.185,0.195,,27000,90000,180000,297000,,1,3,2750,1,0,26331462.2824028,75676361.1466808,9013279.63718821,24459260.8526589,0.0205534035164326,0,14.9,4
78,ALLEN,COLLIN,DFW,SCHEPPS,7,26,1982,,0.17,0.18,0.19,,,,,,297000,1,3,0,1,0,23795283.0130496,84946678.9341424,10312728.9831484,24459260.8526589,0.141508580078938,0,14.8,1
79,ALLEN,COLLIN,DFW,SCHEPPS,0,0,1983,0.167,0.157,0.167,0.177,,,,,,,1,3,0,1,0,74331231.1668181,74331231.1668181,0,24459260.8526589,-1.0,0,14.86,1
80,ALLEN,COLLIN,DFW,SCHEPPS,6,25,1984,,0.19,0.2,0.21,,,,,,,1,3,0,1,0,61153356.5037516,86135755.5117197,10527127.6666667,24459260.8526589,-0.27957047440866,0,14.56,1
81,ALLEN,COLLIN,DFW,FOREMOST,7,20,1986,,0.1615,0.1675,0.1785,,25636.3636363636,85454.5454545455,170909.090909091,282000,282000,1,3,2611,,1,44316943.5878745,96115650.8644452,8379044.44526378,14571456.9513027,0.113951973639772,0,14.14,3
82,ALLEN,COLLIN,DFW,CABELL,7,20,1986,,0.172,0.18,0.19,,25636.3636363636,85454.5454545455,170909.090909091,282000,,1,3,2611,,0,44316943.5878745,96115650.8644452,12866812.0316366,14058181.1006322,0.454175026206151,0,14.14,3
83,ALLEN,COLLIN,DFW,SCHEPPS,7,20,1986,,0.19,0.2,0.21,,25636.3636363636,85454.5454545455,170909.090909091,282000,,1,3,2611,1,0,44316943.5878745,96115650.8644452,9300920.91962015,24459260.8526589,-0.0808176353415,0,14.14,3
84,ALLEN,COLLIN,DFW,CABELL,8,2,1987,0.17,0.16,0.1685,0.1785,144379.221170353,40001.840011739,61959.6461551937,55659.2926627147,302000,302000,1,3,2796,1,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.62,1
85,ALLEN,COLLIN,DFW,CABELL,7,13,1988,0.172,0.162,0.1705,0.1805,156331.143452667,43313.2506087372,67088.7559362527,60266.8500023434,327000,327000,1,3,3027,1,1,31151504.5559272,109470332.68921,12710426.0482678,14058181.1006322,0.619564472310945,0,14.14,1
86,ALLEN,COLLIN,DFW,CABELL,7,24,1989,0.164,0.158,0.164,0.171,166370.75816981,46094.8355102158,71397.2081523424,64137.1981676315,348000,348000,1,3,3222,1,1,20263952.3471971,108104445.363237,13204289.5655642,14058181.1006322,0.751812259631111,0,15.22,1
87,ALLEN,COLLIN,DFW,BORDEN,7,25,1990,0.156,0.156,0.156,0.1625,175932.295995662,48743.9639878144,75500.4959771896,67823.2440393345,368000,368000,1,3,3407,1,1,26799257.7005791,104099327.274789,12775700.7576429,14843406.5703431,0.60325940361773,0,16.2533333333,2
88,ALLEN,COLLIN,DFW,CABELL,7,25,1990,0.156,0.156,0.156,0.1675,175932.295995662,48743.9639878144,75500.4959771896,67823.2440393345,368000,,1,3,3407,1,0,26799257.7005791,104099327.274789,4626699.35829179,14058181.1006322,0.0716715115664565,0,16.2533333333,2
89,ANNA,COLLIN,DFW,CABELL,7,28,1985,,0.1695,0.1695,0.1795,,11326.7366509328,17544.2078359123,15760.2287790451,44631.1732658903,,1,4,309.938703235349,,1,34524212.7822232,93054269.8529648,8044868.81051203,14058181.1006322,0.201243720098546,1,14.04,2
90,ANNA,COLLIN,DFW,FOREMOST,7,28,1985,0.176,0.171,0.176,0.185,,11326.7366509328,17544.2078359123,15760.2287790451,44631.1732658903,,1,4,309.938703235349,,0,34524212.7822232,93054269.8529648,13685055.051552,14571456.9513027,0.568157023750384,0,14.04,2
91,ANNA,COLLIN,DFW,CABELL,8,11,1986,,0.169,0.169,0.179,,10537.4976991792,16321.7399152316,14662.067249886,41521.3048642968,,1,4,288.34239489095,,1,11364286.1119198,96115650.8644452,14058181.1006322,14058181.1006322,0.881764457612141,1,14.14,2
92,ANNA,COLLIN,DFW,FOREMOST,8,11,1986,0.165,0.155,0.165,0.175,,10537.4976991792,16321.7399152316,14662.067249886,41521.3048642968,,1,4,288.34239489095,,0,11364286.1119198,96115650.8644452,8505019.44526378,14571456.9513027,0.465441125888161,0,14.14,2
93,ANNA,COLLIN,DFW,CABELL,7,29,1987,,0.169,0.169,0.179,,12927.0415484084,20022.9519426562,17986.9223164432,50936.9158075079,,1,4,353.728581996583,,1,27630100.3848669,101379288.42028,12720290.9744073,14058181.1006322,0.632290052935439,1,14.62,1
94,ANNA,COLLIN,DFW,CABELL,8,28,1988,,0.16,0.16,0.17,,13286.9102397736,20580.3597212179,18487.6502031346,52354.9201641261,,1,4,363.575834473098,,1,8338127.35565186,109470332.68921,13536451.708017,14058181.1006322,0.88671992695069,1,14.14,1
95,ANNA,COLLIN,DFW,CABELL,8,9,1989,0.1675,0.165,0.1675,0.1725,34322.3615783702,9509.3851147948,14729.2758706411,13231.5325742892,71792.5551380954,,1,4,498.559410681218,1,1,3847235.86096735,108104445.363237,13824432.0239053,14058181.1006322,0.94778459938495,1,15.22,1
96,ANNA,COLLIN,DFW,BORDEN,8,8,1990,0.159,0.159,0.159,0.169,40282.553315304,11160.721327634,17287.0633974335,15529.2320183143,84259.5700586858,,1,4,585.135903185318,1,1,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,0,16.2533333333,2
97,ANNA,COLLIN,DFW,CABELL,8,8,1990,,0.165,0.169,0.175,40282.553315304,11160.721327634,17287.0633974335,15529.2320183143,84259.5700586858,,1,4,585.135903185318,1,0,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,1,16.2533333333,2
98,BLUE RIDGE,COLLIN,DFW,FOREMOST,0,0,1982,,0.1708,0.1758,0.1908,,12722.258160872,19705.7588778748,17701.9829612533,50130,,1,2,696,1,1,84946678.9341424,84946678.9341424,75759.68370754,14571456.9513027,-0.994800816146201,0,14.8,2
99,BLUE RIDGE,COLLIN,DFW,CABELL,0,0,1982,,0.205,0.205,0.225,,12722.258160872,19705.7588778748,17701.9829612533,50130,,1,2,696,1,0,84946678.9341424,84946678.9341424,594325.234846002,14058181.1006322,-0.957723888276039,0,14.8,2
100,BLUE RIDGE,COLLIN,DFW,FOREMOST,0,0,1983,0.173,0.17,0.173,0.19,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,2,696,1,1,74331231.1668181,74331231.1668181,72770.5489031827,14571456.9513027,-0.995005952448929,0,14.86,2
101,BLUE RIDGE,COLLIN,DFW,CABELL,0,0,1983,,0.205,0.205,0.225,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,2,696,1,0,74331231.1668181,74331231.1668181,672948.613831475,14058181.1006322,-0.952131174793216,0,14.86,2
102,BLUE RIDGE,COLLIN,DFW,FOREMOST,7,31,1984,0.173,0.17,0.173,0.19,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,2,696,,1,30074452.8762326,86135755.5117197,11606956.1707223,14571456.9513027,0.44740247822818,0,14.56,1
103,BLUE RIDGE,COLLIN,DFW,FOREMOST,8,19,1985,0.175,0.171,0.175,0.185,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,50130,1,2,696,,1,12520704.9853242,93054269.8529648,14571456.9513027,14571456.9513027,0.865447281407847,0,14.04,1
