rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,ESC,WIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO
1372,WAXAHACHIE,ELLIS,DFW,VANDERVOORT,6,12,1988,0.165,0.155,0.165,0.175,185393.437674341,51365.2766163982,79560.699279876,71470.5864293846,387790,,1,0,0,58912661.7853623,109470332.68921,4253148.56129194,10802340.4761135,-0.14443625482539,0,14.14
1373,WAXAHACHIE,ELLIS,DFW,OAK FARMS,5,31,1989,0.16,0.15,0.1625,0.17,275961,29680,65321,,370962,370962,1,0,1,96935551.5270101,108104445.363237,5166977.3425792,34259343.9798566,-0.745864725412983,1,15.22
1374,WAXAHACHIE,ELLIS,DFW,BORDEN,5,31,1989,0.169,0.159,0.169,,275961,29680,65321,,370962,,1,0,0,96935551.5270101,108104445.363237,5584135.96453409,14843406.5703431,-0.520481104808929,0,15.22
1375,WAXAHACHIE,ELLIS,DFW,SCHEPPS,5,31,1989,0.175,0.165,0.175,0.185,275961,29680,65321,,370962,,1,0,0,96935551.5270101,108104445.363237,8672757.43141521,24459260.8526589,-0.542104529344491,0,15.22
1376,WAXAHACHIE,ELLIS,DFW,VANDERVOORT,5,31,1989,0.174,0.164,0.174,,275961,29680,65321,,370962,,1,0,0,96935551.5270101,108104445.363237,6349894.91297504,10802340.4761135,-0.308858387133862,0,15.22
1377,WAXAHACHIE,ELLIS,DFW,OAK FARMS,6,18,1990,0.175,0.17,0.1725,0.185,276000,29000,65000,,370000,370000,1,0,1,52771131.1660148,104099327.274789,16907905.0,34259343.9798566,-0.0134037512146255,1,16.2533333333
1378,WAXAHACHIE,ELLIS,DFW,BORDEN,6,18,1990,0.1675,0.155,0.1695,,276000,29000,65000,,370000,,1,1,0,52771131.1660148,104099327.274789,10349466.913334,14843406.5703431,0.190312807731872,0,16.2533333333
1379,WAXAHACHIE,ELLIS,DFW,OAK FARMS,6,18,1990,0.169,0.164,0.167,0.179,276000,29000,65000,,370000,,1,1,0,52771131.1660148,104099327.274789,16907905.0,34259343.9798566,-0.0134037512146255,1,16.2533333333
1380,WAXAHACHIE,ELLIS,DFW,SCHEPPS,6,18,1990,0.1925,0.1915,0.1925,0.1925,276000,29000,65000,,370000,,1,0,0,52771131.1660148,104099327.274789,20298049.2191517,24459260.8526589,0.322941165525155,0,16.2533333333
1381,WAXAHACHIE,ELLIS,DFW,VANDERVOORT,6,18,1990,0.187,0.182,0.187,0.192,276000,29000,65000,,370000,,1,1,0,52771131.1660148,104099327.274789,7969104.86339597,10802340.4761135,0.230789639446186,0,16.2533333333
1382,WAXAHACHIE,ELLIS,DFW,OAK FARMS,6,20,1991,0.1675,0.16,0.1675,,262540.502067764,82335.3878105879,25124.1101216482,,370000,370000,1,0,1,33942363.0899953,76931068.1288262,25793976.8028877,34259343.9798566,0.31169852166425,1,13.98
1383,WAXAHACHIE,ELLIS,DFW,BORDEN,6,20,1991,0.16,0.155,0.16,,262540.502067764,82335.3878105879,25124.1101216482,,370000,,1,1,0,33942363.0899953,76931068.1288262,10877332.4226705,14843406.5703431,0.291600779698946,0,13.98
1384,DUBLIN,ERATH,DFW,VANDERVOORT,8,15,1988,0.15,0.14,0.15,0.16,54175.1952443814,15009.8294976498,23249.0236511933,20884.9516067754,113319,113319,3,0,1,8338127.35565186,109470332.68921,10802340.4761135,10802340.4761135,0.923832081708164,0,14.29
1385,DUBLIN,ERATH,DFW,BORDEN,8,15,1988,,,0.1725,0.1825,54175.1952443814,15009.8294976498,23249.0236511933,20884.9516067754,113319,,3,1,0,8338127.35565186,109470332.68921,13714234.8100009,14843406.5703431,0.847759803084582,0,14.29
1386,DUBLIN,ERATH,DFW,GANDY,8,15,1988,,,0.163,0.173,54175.1952443814,15009.8294976498,23249.0236511933,20884.9516067754,113319,,3,0,0,8338127.35565186,109470332.68921,0,240322.931647757,-0.0761679182918359,0,14.29
1387,DUBLIN,ERATH,DFW,VANDERVOORT,8,14,1989,0.15,0.14,0.15,0.16,58428.16726932,16188.1618444857,25074.1660756854,22524.5048105089,122215,122215,3,0,1,3847235.86096735,108104445.363237,9568256.37489058,10802340.4761135,0.850169573668794,0,15.37
1388,DUBLIN,ERATH,DFW,BORDEN,8,14,1989,0.17,0.16,0.17,0.18,58428.16726932,16188.1618444857,25074.1660756854,22524.5048105089,122215,,3,1,0,3847235.86096735,108104445.363237,11132370.4768684,14843406.5703431,0.714399436093421,0,15.37
1389,DUBLIN,ERATH,DFW,GANDY,8,14,1989,0.155,0.145,0.1625,0.1725,58428.16726932,16188.1618444857,25074.1660756854,22524.5048105089,122215,,3,1,0,3847235.86096735,108104445.363237,0.0,240322.931647757,-0.0355881374539264,0,15.37
1390,DUBLIN,ERATH,DFW,PURE,8,14,1989,0.151,0.1475,0.149,0.159,58428.16726932,16188.1618444857,25074.1660756854,22524.5048105089,122215,,3,0,0,3847235.86096735,108104445.363237,4073460.97903592,4073460.97903592,0.964411862546073,0,15.37
1391,DUBLIN,ERATH,DFW,PURE,8,20,1990,0.152,0.149,0.152,0.164,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,125877,3,1,1,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,0,16.4033333333
1392,DUBLIN,ERATH,DFW,BORDEN,8,20,1990,0.1575,0.1525,0.1675,0.1775,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,1,0,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,0,16.4033333333
1393,DUBLIN,ERATH,DFW,GANDY,8,20,1990,0.164,0.155,0.164,0.1725,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,1,0,5309295.91358337,104099327.274789,0.0,240322.931647757,-0.0510022115663486,0,16.4033333333
1394,DUBLIN,ERATH,DFW,PURE,8,20,1990,0.159,0.155,0.159,0.163,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,0,0,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,0,16.4033333333
1395,DUBLIN,ERATH,DFW,GANDY,7,8,1991,0.1448,0.1368,0.1478,0.1547,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,1,1,17199127.1995304,76931068.1288262,240322.931647757,240322.931647757,0.776434571651478,0,14.13
1396,DUBLIN,ERATH,DFW,OAK FARMS,7,8,1991,0.1509,0.1459,0.1559,0.1639,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,0,0,17199127.1995304,76931068.1288262,33695838.1555993,34259343.9798566,0.759986334213287,0,14.13
1397,DUBLIN,ERATH,DFW,PURE,7,8,1991,0.159,0.152,0.168,0.172,60178.8848452334,16673.217268734,25825.4780764149,23199.4198096177,125877,,3,0,0,17199127.1995304,76931068.1288262,992221.292887093,4073460.97903592,0.020016453985337,0,14.13
1398,HUCKABAY,ERATH,DFW,BORDEN,8,7,1985,,,0.16,0.17,,,12466.3174230187,11198.6825769813,23665,23665,3,0,1,12520704.9853242,93054269.8529648,9811431.77337999,14843406.5703431,0.526443241255976,1,14.19
1399,HUCKABAY,ERATH,DFW,BORDEN,8,13,1986,,,0.155,0.165,,,11913.1953738249,10701.8046261751,22615,22615,3,0,1,11364286.1119198,96115650.8644452,13472758.4339951,14843406.5703431,0.789423920428005,1,14.29
1400,HUCKABAY,ERATH,DFW,BORDEN,8,12,1987,,,0.154,0.164,,,9886.6615421599,8881.3384578401,18768,18768,3,0,1,10420658.6628414,101379288.42028,12591149.0048624,14843406.5703431,0.745476621262683,1,14.77
1401,HUCKABAY,ERATH,DFW,BORDEN,8,10,1988,0.162,0.152,0.154,0.164,10053.9570238825,2785.5585941949,4314.6071478269,3875.8772340957,21030,21030,3,1,1,8338127.35565186,109470332.68921,13714234.8100009,14843406.5703431,0.847759803084582,1,14.29
1402,HUCKABAY,ERATH,DFW,BORDEN,8,9,1989,0.16,0.15,0.16,0.17,9590.2224393287,2657.0758630314,4115.5976883218,3697.1040093181,20060,20060,3,1,1,3847235.86096735,108104445.363237,11132370.4768684,14843406.5703431,0.714399436093421,1,15.37
1403,HUCKABAY,ERATH,DFW,CABELL,8,8,1990,0.161,0.151,0.161,0.172,10039.6147171437,2781.5849014785,4308.4522160896,3870.3481652881,21000,21000,3,1,1,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,0,16.4033333333
1404,HUCKABAY,ERATH,DFW,CABELL,8,8,1990,0.172,0.156,0.166,0.175,10039.6147171437,2781.5849014785,4308.4522160896,3870.3481652881,21000,,3,0,0,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,0,16.4033333333
1405,HUCKABAY,ERATH,DFW,BORDEN,8,7,1991,0.165,,0.165,,14694.098518016,,6305.901481984,,21000,,3,1,1,1738711.70423996,76931068.1288262,12829496.0368675,14843406.5703431,0.841721983905328,1,14.13
1406,LINGLEVILLE,ERATH,DFW,BORDEN,8,12,1987,0.162,0.152,0.154,0.164,11186.9992562459,3099.4803187904,4800.8467550713,4312.6736698925,23400,23400,3,1,1,10420658.6628414,101379288.42028,12591149.0048624,14843406.5703431,0.745476621262683,1,14.77
1407,LINGLEVILLE,ERATH,DFW,BORDEN,8,10,1988,0.162,0.152,0.154,0.164,12047.5376605725,3337.9018817743,5170.1426593076,4644.4177983457,25200,25200,3,1,1,8338127.35565186,109470332.68921,13714234.8100009,14843406.5703431,0.847759803084582,1,14.29
1408,LINGLEVILLE,ERATH,DFW,BORDEN,7,22,1989,0.14,0.13,0.14,0.15,12477.8068627358,3457.1126632662,5354.7906114257,4810.2898625724,26100,26100,3,1,1,20263952.3471971,108104445.363237,10191908.6315118,14843406.5703431,0.499180768054264,1,15.37
1409,LINGLEVILLE,ERATH,DFW,BORDEN,8,8,1990,0.149,0.145,0.155,0.16,12908.0760648991,3576.3234447581,5539.4385635438,4976.161926799,27000,27000,3,1,1,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,1,16.4033333333
1410,LINGLEVILLE,ERATH,DFW,CABELL,8,8,1990,0.161,0.152,0.16,0.167,12908.0760648991,3576.3234447581,5539.4385635438,4976.161926799,27000,,3,1,0,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,0,16.4033333333
1411,LINGLEVILLE,ERATH,DFW,CABELL,8,8,1990,0.165,0.161,0.166,0.173,12908.0760648991,3576.3234447581,5539.4385635438,4976.161926799,27000,,3,0,0,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,0,16.4033333333
1412,MORGAN MILL,ERATH,DFW,DROPIN BUCKT,8,6,1987,0.165,0.15,0.17,0.18,3442.1536173064,953.6862519355,1477.183616945,1326.9765138131,7200,7200,3,0,1,10420658.6628414,101379288.42028,7200,142039,-0.102788832168967,0,14.77
1413,MORGAN MILL,ERATH,DFW,VANDERVOORT,8,6,1987,0.17,0.16,0.17,0.18,3442.1536173064,953.6862519355,1477.183616945,1326.9765138131,7200,,3,1,0,10420658.6628414,101379288.42028,10225904.1243725,10802340.4761135,0.843848995715133,0,14.77
1414,MORGAN MILL,ERATH,DFW,VANDERVOORT,8,16,1988,0.164,0.154,0.164,,4219.8888022321,1169.1662786783,1810.9449190896,,7200,7200,3,0,1,8338127.35565186,109470332.68921,10802340.4761135,10802340.4761135,0.923832081708164,0,14.29
1415,MORGAN MILL,ERATH,DFW,PURE,8,15,1990,0.175,0.1725,0.175,0.185,8175.1148411028,2265.0048483468,3508.3110902444,3151.569220306,17100,17100,3,0,1,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,0,16.4033333333
1416,MORGAN MILL,ERATH,DFW,PURE,8,11,1991,0.175,0.175,0.175,0.185,8175.1148411028,2265.0048483468,3508.3110902444,3151.569220306,17100,,3,0,1,1738711.70423996,76931068.1288262,1218883.09131503,4073460.97903592,0.276624520421713,0,14.13
1417,STEPHENVILLE,ERATH,DFW,BORDEN,7,20,1980,,0.16,0.165,0.18,,53698.4361511849,83174.5765204373,74716.9873283778,211590,,3,1,1,27945146.4919576,58060037.7775751,5626931.37736641,14843406.5703431,-0.102228392427466,1,14.14
1418,STEPHENVILLE,ERATH,DFW,BORDEN,6,30,1983,0.165,0.1545,0.165,0.175,101156.289428592,28026.4547287545,43410.7335429716,38996.5222996815,211590,,3,1,1,43889812.212781,74331231.1668181,7469875.01417714,14843406.5703431,-0.0872172742404675,1,15.01
1419,STEPHENVILLE,ERATH,DFW,CABELL,6,30,1983,0.1675,0.1574,0.1674,0.1775,101156.289428592,28026.4547287545,43410.7335429716,38996.5222996815,211590,,3,1,0,43889812.212781,74331231.1668181,7870573.61383148,14058181.1006322,-0.0306054235795679,0,15.01
1420,STEPHENVILLE,ERATH,DFW,BORDEN,5,31,1984,0.165,0.1545,0.165,0.175,101156.289428592,28026.4547287545,43410.7335429716,38996.5222996815,211590,211590,3,0,1,83999760.7246616,86135755.5117197,776271.440964766,14843406.5703431,-0.922904605008227,1,14.71
1421,STEPHENVILLE,ERATH,DFW,BORDEN,6,29,1985,0.1625,0.1545,0.165,0.1725,110322.457665345,30566.0417438044,47344.3504162614,42530.1501745895,230763,230763,3,0,1,59536009.3501284,93054269.8529648,4502217.80487806,14843406.5703431,-0.336484468683746,1,14.19
1422,STEPHENVILLE,ERATH,DFW,BORDEN,6,19,1986,0.165,0.1575,0.1675,0.175,116059.380360855,32155.5188303635,49806.3231111698,44741.7776976113,242763,242763,3,0,1,62357529.473772,96115650.8644452,7806482.51789783,14843406.5703431,-0.122853451365656,1,14.29
1423,STEPHENVILLE,ERATH,DFW,BORDEN,5,31,1987,0.165,0.1575,0.1675,0.175,114009.386650993,31587.5456847664,48926.5782015225,43951.4894627182,238475,238475,3,0,1,96599746.2449685,101379288.42028,5736484.01438034,14843406.5703431,-0.566388034038268,1,14.77
1424,STEPHENVILLE,ERATH,DFW,BORDEN,5,31,1988,0.1595,0.1495,0.1595,0.1695,114741.322371562,31790.3364697266,49240.6848845146,44233.656274197,240006,240006,3,0,1,100145131.339606,109470332.68921,4617121.98026398,14843406.5703431,-0.60375985007523,1,14.29
1425,STEPHENVILLE,ERATH,DFW,VANDERVOORT,5,31,1988,0.165,0.155,0.165,0.175,114741.322371562,31790.3364697266,49240.6848845146,44233.656274197,240006,,3,1,0,100145131.339606,109470332.68921,3663982.03183338,10802340.4761135,-0.575631173667644,0,14.29
1426,STEPHENVILLE,ERATH,DFW,BORDEN,5,31,1989,0.1635,0.1535,0.1635,0.1735,109064.637364354,30217.5488925763,46804.5629029028,42045.250840167,228132,228132,3,0,1,96935551.5270101,108104445.363237,5584135.96453409,14843406.5703431,-0.520481104808929,1,15.37
1427,STEPHENVILLE,ERATH,DFW,CABELL,5,31,1989,0.185,0.175,0.18,0.19,109064.637364354,30217.5488925763,46804.5629029028,42045.250840167,228132,,3,0,0,96935551.5270101,108104445.363237,3332260.69006508,14058181.1006322,-0.659650673296792,0,15.37
1428,STEPHENVILLE,ERATH,DFW,VANDERVOORT,5,31,1989,0.17,0.16,0.17,0.18,109064.637364354,30217.5488925763,46804.5629029028,42045.250840167,228132,,3,0,0,96935551.5270101,108104445.363237,6349894.91297504,10802340.4761135,-0.308858387133862,0,15.37
1429,STEPHENVILLE,ERATH,DFW,BORDEN,5,22,1990,0.1695,0.16,0.173,0.183,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,230000,3,0,1,94849464.3298611,104099327.274789,8053842.46314385,14843406.5703431,-0.368556670344361,1,16.4033333333
1430,STEPHENVILLE,ERATH,DFW,VANDERVOORT,5,22,1990,0.192,0.182,0.187,0.197,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,,3,1,0,94849464.3298611,104099327.274789,7100027.0,10802340.4761135,-0.253876403480656,0,16.4033333333
1431,STEPHENVILLE,ERATH,DFW,PURE,6,16,1991,0.159,0.156,0.168,0.172,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,,3,0,1,33942363.0899953,76931068.1288262,892045.016346625,4073460.97903592,-0.222215426231552,0,14.13
1432,STEPHENVILLE,ERATH,DFW,BORDEN,6,16,1991,0.155,0.1625,0.1625,0.1675,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,,3,1,0,33942363.0899953,76931068.1288262,10877332.4226705,14843406.5703431,0.291600779698946,1,14.13
1433,STEPHENVILLE,ERATH,DFW,OAK FARMS,6,16,1991,0.17,0.1625,0.17,0.18,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,,3,1,0,33942363.0899953,76931068.1288262,25793976.8028877,34259343.9798566,0.31169852166425,0,14.13
1434,STEPHENVILLE,ERATH,DFW,PURE,6,16,1991,0.155,0.151,0.161,0.168,109957.684997288,30464.977492384,47187.8099857435,42389.5275245841,230000,,3,1,0,33942363.0899953,76931068.1288262,892045.016346625,4073460.97903592,-0.222215426231552,0,14.13
1435,THREE WAY,ERATH,DFW,PURE,0,0,1991,,,,,,,,,11345.1652684028,,3,0,1,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,,14.13
1436,ECTOR,FANNIN,DFW,BORDEN,7,10,1986,,0.16,0.17,0.18,,4020.5893653447,6227.5708902138,5594.3216636197,15842.4819191782,,1,1,1,44316943.5878745,96115650.8644452,12259771.4908155,14843406.5703431,0.364861188685188,1,14.14
1437,ECTOR,FANNIN,DFW,CABELL,7,10,1986,0.25,0.24,0.24,0.26,,4020.5893653447,6227.5708902138,5594.3216636197,15842.4819191782,,1,0,0,44316943.5878745,96115650.8644452,12866812.0316366,14058181.1006322,0.454175026206151,0,14.14
1438,ECTOR,FANNIN,DFW,BORDEN,8,10,1987,,0.1625,0.1725,0.1825,,4527.5449295075,7012.8044535377,6299.7089184171,17840.0583014622,,1,1,1,10420658.6628414,101379288.42028,12591149.0048624,14843406.5703431,0.745476621262683,1,14.62
1439,ECTOR,FANNIN,DFW,BORDEN,8,11,1988,,0.16,0.17,0.18,,4305.1716655432,6668.3660790639,5990.2946870787,16963.8324316858,,1,1,1,8338127.35565186,109470332.68921,13714234.8100009,14843406.5703431,0.847759803084582,1,14.14
1440,ECTOR,FANNIN,DFW,BORDEN,8,8,1990,,0.169,0.169,0.179,,5777.5190716278,8948.9142806403,8038.9458279363,22765.3791802043,,1,1,1,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,1,16.2533333333
1441,ECTOR,FANNIN,DFW,BORDEN,7,29,1991,,0.16,0.16,0.165,,6874.0485092742,10647.3505509566,9564.6769659373,27086.0760261681,,1,1,1,17199127.1995304,76931068.1288262,11880951.9553128,14843406.5703431,0.576854064239573,1,13.98
1442,HONEY GROVE,FANNIN,DFW,CABELL,8,7,1989,,0.1525,0.1594,0.1694,,21313.4619804545,33012.8454656985,29655.9412686424,83982.2487147955,,1,0,1,3847235.86096735,108104445.363237,13824432.0239053,14058181.1006322,0.94778459938495,0,15.22
1443,HONEY GROVE,FANNIN,DFW,BORDEN,8,7,1989,,0.15,0.157,0.167,,21313.4619804545,33012.8454656985,29655.9412686424,83982.2487147955,,1,1,0,3847235.86096735,108104445.363237,11132370.4768684,14843406.5703431,0.714399436093421,0,15.22
1444,HONEY GROVE,FANNIN,DFW,PRESTON,8,7,1989,,0.165,0.168,0.178,,21313.4619804545,33012.8454656985,29655.9412686424,83982.2487147955,,1,0,0,3847235.86096735,108104445.363237,18034611.5620904,18820439.5968973,0.922657894432787,0,15.22
1445,HONEY GROVE,FANNIN,DFW,OAK FARMS,8,7,1990,,0.152,0.156,0.166,,22366.7009526391,34644.2282724461,31121.4372603117,88132.3664853969,,1,1,1,5309295.91358337,104099327.274789,24540872.9580464,34259343.9798566,0.665324200652043,0,16.2533333333
1446,HONEY GROVE,FANNIN,DFW,BORDEN,8,7,1990,,0.1475,0.157,0.1625,,22366.7009526391,34644.2282724461,31121.4372603117,88132.3664853969,,1,1,0,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,0,16.2533333333
1447,HONEY GROVE,FANNIN,DFW,OAK FARMS,8,7,1990,,0.17,0.175,0.185,,22366.7009526391,34644.2282724461,31121.4372603117,88132.3664853969,,1,0,0,5309295.91358337,104099327.274789,24540872.9580464,34259343.9798566,0.665324200652043,0,16.2533333333
1448,HONEY GROVE,FANNIN,DFW,PRESTON,8,7,1990,,0.185,0.185,0.195,,22366.7009526391,34644.2282724461,31121.4372603117,88132.3664853969,,1,1,0,5309295.91358337,104099327.274789,14442699.024465,18820439.5968973,0.71639213913978,0,16.2533333333
1449,HONEY GROVE,FANNIN,DFW,OAK FARMS,8,4,1991,,0.143,0.149,0.1549,,22896.9375962533,35465.5223630981,31859.2182353557,90221.6781947071,,1,1,1,1738711.70423996,76931068.1288262,34259343.9798566,34259343.9798566,0.977399095755068,0,13.98
1450,HONEY GROVE,FANNIN,DFW,BORDEN,8,4,1991,,0.1445,0.15,0.155,,22896.9375962533,35465.5223630981,31859.2182353557,90221.6781947071,,1,1,0,1738711.70423996,76931068.1288262,12829496.0368675,14843406.5703431,0.841721983905328,0,13.98
1451,HONEY GROVE,FANNIN,DFW,OAK FARMS,8,4,1991,,0.1555,0.1622,0.167,,22896.9375962533,35465.5223630981,31859.2182353557,90221.6781947071,,1,0,0,1738711.70423996,76931068.1288262,34259343.9798566,34259343.9798566,0.977399095755068,0,13.98
1452,LEONARD,FANNIN,DFW,CABELL,6,30,1986,,,0.179,0.181,,,26955.9243947584,24214.9169335775,51170.8413283359,,1,0,1,62357529.473772,96115650.8644452,6542861.7216758,14058181.1006322,-0.183362915126842,0,14.14
1453,LEONARD,FANNIN,DFW,CABELL,8,14,1988,,0.1675,0.17,0.18,,13749.2738615634,21296.5239374819,19130.9914127948,54176.78921184,,1,1,1,8338127.35565186,109470332.68921,13536451.708017,14058181.1006322,0.88671992695069,0,14.14
1454,LEONARD,FANNIN,DFW,BORDEN,8,14,1988,0.19,0.18,0.19,0.2,,13749.2738615634,21296.5239374819,19130.9914127948,54176.78921184,,1,1,0,8338127.35565186,109470332.68921,13714234.8100009,14843406.5703431,0.847759803084582,0,14.14
1455,LEONARD,FANNIN,DFW,OAK FARMS,8,8,1990,,0.147,0.1565,0.162,,16143.1831579313,25004.4976928656,22461.9206424362,63609.6014932331,,1,1,1,5309295.91358337,104099327.274789,24540872.9580464,34259343.9798566,0.665324200652043,0,16.2533333333
1456,LEONARD,FANNIN,DFW,OAK FARMS,8,8,1990,,0.167,0.1765,0.185,,16143.1831579313,25004.4976928656,22461.9206424362,63609.6014932331,,1,0,0,5309295.91358337,104099327.274789,24540872.9580464,34259343.9798566,0.665324200652043,0,16.2533333333
1457,LEONARD,FANNIN,DFW,OAK FARMS,7,22,1991,0.152,0.1435,0.152,0.1617,29113.3409715043,8066.1690671903,12493.849810019,11223.4153390426,60896.7751877562,,1,1,1,17199127.1995304,76931068.1288262,33695838.1555993,34259343.9798566,0.759986334213287,0,13.98
1458,LEONARD,FANNIN,DFW,OAK FARMS,7,22,1991,0.167,0.1585,0.167,0.1767,29113.3409715043,8066.1690671903,12493.849810019,11223.4153390426,60896.7751877562,,1,0,0,17199127.1995304,76931068.1288262,33695838.1555993,34259343.9798566,0.759986334213287,0,13.98
1459,SAVOY,FANNIN,DFW,,7,12,1981,,,,,,,,,,,1,0,0,26331462.2824028,75676361.1466808,0,344455.777724986,-0.3479483141554,0,14.9
1460,SAVOY,FANNIN,DFW,SCHEPPS,7,11,1982,0.175,0.165,0.175,0.185,,,,,,,1,1,0,23795283.0130496,84946678.9341424,10312728.9831484,24459260.8526589,0.141508580078938,0,14.8
1461,SAVOY,FANNIN,DFW,SCHEPPS,8,4,1983,0.1685,0.1585,0.1685,0.1785,,,,,,,1,1,0,11847250.7249519,74331231.1668181,6253401.98023637,24459260.8526589,0.0962814622957156,0,14.86
1462,SAVOY,FANNIN,DFW,SCHEPPS,8,11,1985,0.1785,0.1685,0.1785,0.1885,,,,,,,1,1,0,12520704.9853242,93054269.8529648,14285828.2228793,24459260.8526589,0.449513509285144,0,14.04
1463,SAVOY,FANNIN,DFW,CABELL,8,10,1987,,0.162,0.172,0.182,,9960.7326120895,15428.3769924196,13859.5457466117,39248.6553511209,,1,0,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.62
1464,SAVOY,FANNIN,DFW,CABELL,7,19,1988,,0.16,0.17,0.18,,9451.1262160292,14639.0375028098,13150.4700757729,37240.6337946119,,1,0,1,31151504.5559272,109470332.68921,12710426.0482678,14058181.1006322,0.619564472310945,0,14.14
1465,SAVOY,FANNIN,DFW,BORDEN,8,9,1990,0.1725,0.1625,0.1725,0.1825,19599.5935227739,5430.2814354986,8411.0709949311,7555.7930227866,40996.7389759902,,1,1,1,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,0,16.2533333333
1466,SAVOY,FANNIN,DFW,BORDEN,7,14,1991,0.1575,0.1475,0.1575,0.1675,19795.7393315402,5484.6257739543,8495.2460223864,7631.4087304085,41407.0198582893,,1,1,1,17199127.1995304,76931068.1288262,11880951.9553128,14843406.5703431,0.576854064239573,0,13.98
1467,MOUNT VERNON,FRANKLIN,DFW,BORDEN,8,2,1983,,0.14,0.1425,0.1525,,28027.6039414752,43412.5135814276,38998.1213353042,110438.238858207,,1,0,1,11847250.7249519,74331231.1668181,10543892.1165986,14843406.5703431,0.5509572363015,0,14.86
1468,MOUNT VERNON,FRANKLIN,DFW,FOREMOST,8,2,1983,0.1588,0.1538,0.1588,0.1688,,28027.6039414752,43412.5135814276,38998.1213353042,110438.238858207,,1,0,0,11847250.7249519,74331231.1668181,12390434.7005889,14571456.9513027,0.690937731886307,0,14.86
1469,MOUNT VERNON,FRANKLIN,DFW,PRESTON,7,8,1984,,0.14,0.145,0.15,,26857.5704258801,41600.2253818169,37370.1152773183,105827.911085015,,1,0,1,30074452.8762326,86135755.5117197,3601109.91108502,18820439.5968973,-0.157811414147496,1,14.56
1470,MOUNT VERNON,FRANKLIN,DFW,BORDEN,7,8,1984,,0.145,0.155,0.165,,26857.5704258801,41600.2253818169,37370.1152773183,105827.911085015,,1,0,0,30074452.8762326,86135755.5117197,9664784.89714514,14843406.5703431,0.301964576756488,0,14.56
1471,MOUNT VERNON,FRANKLIN,DFW,PRESTON,8,6,1985,,0.14,0.143,0.148,,28465.5907403119,44090.9200514451,39607.5441871456,112164.054978903,,1,0,1,12520704.9853242,93054269.8529648,9785337.0549789,18820439.5968973,0.385378657324915,1,14.04
1472,MOUNT VERNON,FRANKLIN,DFW,BORDEN,8,6,1985,,0.14,0.149,0.159,,28465.5907403119,44090.9200514451,39607.5441871456,112164.054978903,,1,0,0,12520704.9853242,93054269.8529648,9811431.77337999,14843406.5703431,0.526443241255976,0,14.04
1473,MOUNT VERNON,FRANKLIN,DFW,PRESTON,8,5,1986,,0.145,0.15,0.155,,29620.7091082749,45880.1058820306,41214.7970356062,116715.612025912,,1,0,1,11364286.1119198,96115650.8644452,16977811.2144023,18820439.5968973,0.783858753921841,1,14.14
1474,MOUNT VERNON,FRANKLIN,DFW,BORDEN,8,5,1986,,0.1625,0.1725,0.1825,,29620.7091082749,45880.1058820306,41214.7970356062,116715.612025912,,1,1,0,11364286.1119198,96115650.8644452,13472758.4339951,14843406.5703431,0.789423920428005,0,14.14
1475,MOUNT VERNON,FRANKLIN,DFW,PRESTON,7,16,1987,,0.143,0.146,0.15,,29817.3927623859,46184.7531084996,41488.4662733944,117490.61214428,,1,0,1,27630100.3848669,101379288.42028,11495029.668742,18820439.5968973,0.338231842008277,1,14.62
