rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,ESC,WIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO
27,AUSTIN,TRAVIS,AUST,OAK FARMS,5,26,1986,0.126,0.126,0.138,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,2549871.38961763,34259343.9798566,-0.916972132753644,0,14.44
28,AUSTIN,TRAVIS,AUST,PURE,5,26,1986,0.165,0.1625,0.165,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,2103000.0,4073460.97903592,-0.475132026311966,0,14.44
29,AUSTIN,TRAVIS,AUST,SCHEPPS,5,26,1986,0.176,0.171,0.181,,4300000,345000,2600000,,7245000,,7,0,0,95289116.5408635,96115650.8644452,6136072.55424326,24459260.8526589,-0.740531535377407,0,14.44
30,AUSTIN,TRAVIS,AUST,SUPERIOR,5,11,1987,0.1239,0.124,0.1369,,4500000,380000,2750000,,7630000,7630000,7,0,1,96599746.2449685,101379288.42028,7630000,9552974.16662402,-0.154150707593488,0,14.92
31,AUSTIN,TRAVIS,AUST,BORDEN,5,11,1987,0.165,0.159,0.165,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,5736484.01438034,14843406.5703431,-0.566388034038268,0,14.92
32,AUSTIN,TRAVIS,AUST,OAK FARMS,5,11,1987,0.1259,0.1219,0.1399,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,6666391.54487477,34259343.9798566,-0.75826876308247,0,14.92
33,AUSTIN,TRAVIS,AUST,PURE,5,11,1987,0.1625,0.159,0.16,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,2545947.30397327,4073460.97903592,-0.327846452034542,0,14.92
34,AUSTIN,TRAVIS,AUST,SCHEPPS,5,11,1987,0.17,0.17,0.18,,4500000,380000,2750000,,7630000,,7,0,0,96599746.2449685,101379288.42028,11857331.3490957,24459260.8526589,-0.468076036737732,0,14.92
35,AUSTIN,TRAVIS,AUST,SUPERIOR,4,6,1988,0.114,0.11,0.13,,4700000,450000,3000000,,8150000,8150000,7,0,1,108295131.339606,109470332.68921,8150000.0,9552974.16662402,-0.136127211149486,0,14.44
36,AUSTIN,TRAVIS,AUST,BORDEN,4,6,1988,0.1427,0.1323,0.147,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,703468.48026398,14843406.5703431,-0.941872001743873,0,14.44
37,AUSTIN,TRAVIS,AUST,OAK FARMS,4,6,1988,0.119,0.12,0.133,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,32050.0,34259343.9798566,-0.988329147810875,0,14.44
38,AUSTIN,TRAVIS,AUST,PURE,4,6,1988,0.159,0.155,0.159,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,35432.0638075088,4073460.97903592,-0.980566388918293,0,14.44
39,AUSTIN,TRAVIS,AUST,SCHEPPS,4,6,1988,0.18,0.17,0.18,,4700000,450000,3000000,,8150000,,7,0,0,108295131.339606,109470332.68921,0.0,24459260.8526589,-0.989264659010939,0,14.44
40,AUSTIN,TRAVIS,AUST,SUPERIOR,4,17,1989,0.1243,0.1215,0.1329,,4000000,450000,3000000,,7450000,7450000,7,0,1,107622812.437352,108104445.363237,7450000,9552974.16662402,-0.215682905647091,0,15.52
41,AUSTIN,TRAVIS,AUST,OAK FARMS,4,17,1989,0.1224,0.125,0.136,,4000000,450000,3000000,,7450000,,7,0,0,107622812.437352,108104445.363237,51465.3425791979,34259343.9798566,-0.994042516583435,0,15.52
42,AUSTIN,TRAVIS,AUST,SCHEPPS,4,17,1989,0.17,0.16,0.17,,4000000,450000,3000000,,7450000,,7,0,0,107622812.437352,108104445.363237,3237260.91034159,24459260.8526589,-0.863191566286933,0,15.52
43,IREDELE,BOSQUE,DFW,CABELL,8,12,1987,,0.16,0.17,0.18,,2138.1413326421,3311.8096657908,2975.0490015671,8425,8425,3,1,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.77
44,IREDELE,BOSQUE,DFW,CABELL,0,0,1988,,0.16,0.17,0.18,,2182.2999785625,3380.2078713514,3036.4921500861,8599,8599,3,0,1,109470332.68921,109470332.68921,81816.9267970888,14058181.1006322,-0.994180120016137,0,14.29
45,IREDELE,BOSQUE,DFW,OAK FARMS,0,0,1989,0.1695,0.161,0.1695,0.1795,4195.1247210922,1162.3051195464,1800.3175331517,1617.2526262097,8775,8775,3,1,1,108104445.363237,108104445.363237,51465.3425791979,34259343.9798566,-0.998497772093667,0,15.37
46,IREDELE,BOSQUE,DFW,PURE,0,0,1990,0.16,0.154,0.16,0.17,4401.1758612393,1219.3938382386,1888.7433857772,1696.6869147449,9206,9206,3,1,1,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333
47,IREDELE,BOSQUE,DFW,PURE,0,0,1991,0.16,0.154,0.16,0.17,4417.4304755432,1223.8973566506,1895.7189750794,1702.9531927268,9240,9240,3,1,1,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13
48,KOPPERL,BOSQUE,DFW,PURE,7,13,1991,0.175,0.1725,0.175,0.185,19446.8659147148,5387.9665837254,8345.5286788224,7496.9153632057,40677.2765404683,,3,0,1,17199127.1995304,76931068.1288262,992221.292887093,4073460.97903592,0.020016453985337,,14.13
49,MORGAN,BOSQUE,DFW,OAK FARMS,8,19,1986,0.1455,0.1335,0.148,0.154,19962.914364522,5530.9434425847,8566.9883811938,7695.8559826599,41756.7021709604,,3,0,1,11364286.1119198,96115650.8644452,7822004.66038077,34259343.9798566,0.110081866870761,0,14.29
50,MORGAN,BOSQUE,DFW,PURE,8,19,1986,0.18,0.17,0.175,0.185,19962.914364522,5530.9434425847,8566.9883811938,7695.8559826599,41756.7021709604,,3,0,0,11364286.1119198,96115650.8644452,3101559.69241926,4073460.97903592,0.643170963868479,1,14.29
51,MORGAN,BOSQUE,DFW,PURE,9,1,1987,0.159,0.155,0.159,0.169,17906.2666822697,4961.126741268,7684.3879513999,6903.0025905814,37454.783965519,,3,0,1,813586.783965519,101379288.42028,3656621.02219897,4073460.97903592,0.88964416094097,1,14.77
52,MORGAN,BOSQUE,DFW,PURE,8,16,1988,0.159,0.155,0.159,0.169,16589.8077264671,4596.387410323,7119.4359422523,6395.4976067928,34701.1286858352,,3,0,1,8338127.35565186,109470332.68921,3916113.91823389,4073460.97903592,0.885204717505631,1,14.29
53,MORGAN,BOSQUE,DFW,PURE,8,22,1989,0.159,0.155,0.159,0.169,15742.3099229187,4361.578888203,6755.7363489208,6068.7807295556,32928.4058895981,,3,0,1,3847235.86096735,108104445.363237,4073460.97903592,4073460.97903592,0.964411862546073,1,15.37
54,MORGAN,BOSQUE,DFW,PURE,8,15,1990,0.159,0.155,0.159,0.169,16107.8528571143,4462.8565502695,6912.6073354361,6209.7003230419,33693.0170658618,,3,1,1,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,1,16.4033333333
55,MORGAN,BOSQUE,DFW,PURE,8,15,1990,0.167,0.159,0.169,0.175,16107.8528571143,4462.8565502695,6912.6073354361,6209.7003230419,33693.0170658618,,3,0,0,5309295.91358337,104099327.274789,2247297.12506319,4073460.97903592,0.500690105269116,1,16.4033333333
56,MORGAN,BOSQUE,DFW,PURE,8,11,1991,0.159,0.155,0.159,0.169,16923.3475079217,4688.7982494115,7262.5729301795,6524.0797404278,35398.7984279404,,3,1,1,1738711.70423996,76931068.1288262,1218883.09131503,4073460.97903592,0.276624520421713,1,14.13
57,MORGAN,BOSQUE,DFW,PURE,8,11,1991,0.167,0.159,0.169,0.175,16923.3475079217,4688.7982494115,7262.5729301795,6524.0797404278,35398.7984279404,,3,0,0,1738711.70423996,76931068.1288262,1218883.09131503,4073460.97903592,0.276624520421713,1,14.13
58,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1979,,,,,,,,,26415.8858498422,,3,1,1,10147109.8858498,10147109.8858498,26415.8858498422,14571456.9513027,-0.998187148619515,0,13.24
59,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1981,0.171,0.166,0.171,0.181,12628.8245878316,3498.9537732906,5419.5991395106,4868.5083492094,26415.8858498422,,3,1,1,75676361.1466808,75676361.1466808,26415.8858498422,14571456.9513027,-0.998187148619515,0,15.05
60,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1982,0.173,0.168,0.173,0.183,12252.9595117123,3394.8162490745,5258.2984555918,4723.6094911615,25629.68370754,,3,1,1,84946678.9341424,84946678.9341424,75759.68370754,14571456.9513027,-0.994800816146201,0,14.95
61,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1983,0.17,0.165,0.17,0.18,10823.9232367907,2998.8861423943,4645.0344331144,4172.7050908833,22640.5489031827,,3,0,1,74331231.1668181,74331231.1668181,72770.5489031827,14571456.9513027,-0.995005952448929,0,15.01
62,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1984,,0.155,0.1669,0.1769,,6008.2061824004,9306.2301379069,8359.9280979579,23674.3644182652,,3,1,1,86135755.5117197,86135755.5117197,51835.5271698547,14571456.9513027,-0.996442666828507,0,14.71
63,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1985,,0.157,0.17,0.18,,6844.6666471444,10601.8403999133,9523.7945049611,26970.3015520189,,3,1,1,93054269.8529648,93054269.8529648,26970.3015520189,14571456.9513027,-0.998149100557195,0,14.19
64,WALNUT SPRGS,BOSQUE,DFW,FOREMOST,0,0,1986,,0.16,0.17,0.18,,8140.5309700568,12609.0304414021,11326.8838523257,32076.4452637846,,3,0,1,96115650.8644452,96115650.8644452,32076.4452637846,14571456.9513027,-0.997798679612411,0,14.29
65,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1987,0.159,0.155,0.159,0.169,15990.3831056565,4430.3102727239,6862.1957583735,6164.4148365127,33447.3039732665,,3,0,1,101379288.42028,101379288.42028,33447.3039732665,4073460.97903592,-0.99178897155382,0,14.77
66,WALNUT SPRGS,BOSQUE,DFW,CABELL,0,0,1987,,0.159,0.169,0.179,15990.3831056565,4430.3102727239,6862.1957583735,6164.4148365127,33447.3039732665,,3,1,0,101379288.42028,101379288.42028,25963.4325824094,14058181.1006322,-0.998153144251269,0,14.77
67,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1988,0.155,0.151,0.155,0.165,16939.2509171734,4693.2044626281,7269.3978015281,6530.2106261792,35432.0638075088,,3,0,1,109470332.68921,109470332.68921,35432.0638075088,4073460.97903592,-0.991301729907354,0,14.29
68,WALNUT SPRGS,BOSQUE,DFW,CABELL,0,0,1988,,0.159,0.169,0.179,16939.2509171734,4693.2044626281,7269.3978015281,6530.2106261792,35432.0638075088,,3,0,0,109470332.68921,109470332.68921,81816.9267970888,14058181.1006322,-0.994180120016137,0,14.29
69,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1989,0.155,0.151,0.155,0.165,16762.9014795855,4644.3449250065,7193.7182912493,6462.2265708696,35063.1912667109,,3,0,1,108104445.363237,108104445.363237,35063.1912667109,4073460.97903592,-0.991392284976544,0,15.37
70,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1990,0.155,0.151,0.155,0.165,17218.0033114671,4770.4358577627,7389.023046597,6637.6718035471,36015.1340193739,,3,1,1,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333
71,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1990,0.164,0.159,0.164,0.174,17218.0033114671,4770.4358577627,7389.023046597,6637.6718035471,36015.1340193739,,3,0,0,104099327.274789,104099327.274789,45221.1340193739,4073460.97903592,-0.988898596487826,0,16.4033333333
72,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1991,0.164,0.157,0.164,0.169,18446.5850318046,5110.827840902,7916.2629641404,7111.2994417766,38584.9752786236,,3,1,1,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13
73,WALNUT SPRGS,BOSQUE,DFW,PURE,0,0,1991,0.169,0.161,0.169,0.174,18446.5850318046,5110.827840902,7916.2629641404,7111.2994417766,38584.9752786236,,3,0,0,76931068.1288262,76931068.1288262,87295.0163466252,4073460.97903592,-0.978569816478938,0,14.13
